"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"1717",525,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"35 to 49 Years",23.714285714
"1718",526,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"50 to 64 Years",43.428571429
"1719",527,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"65 to 69 Years",14.857142857
"1720",528,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"More Than 70 Years",6.2857142857
"1721",529,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"2 to 11 Years",28.571428571
"1722",530,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"12 to 17 Years",57.142857143
"1723",531,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"Less Than 2 Years",0
"1724",532,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"18 to 34 Years",14.285714286
"1725",533,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"35 to 49 Years",0
"1726",534,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"50 to 64 Years",0
"1727",535,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"65 to 69 Years",0
"1728",536,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"More Than 70 Years",0
"1729",537,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"2 to 11 Years",0
"1730",538,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"12 to 17 Years",0
"1731",539,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"Less Than 2 Years",0
"1732",540,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"18 to 34 Years",16.875
"1733",541,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"35 to 49 Years",35.9375
"1734",542,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"50 to 64 Years",38.4375
"1735",543,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"65 to 69 Years",7.1875
"1736",544,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"More Than 70 Years",1.5625
"1737",545,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"2 to 11 Years",0
"1738",546,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"12 to 17 Years",0
"1739",547,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"Less Than 2 Years",0
"1740",548,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"18 to 34 Years",7.6923076923
"1741",549,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"35 to 49 Years",27.472527473
"1742",550,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"50 to 64 Years",38.461538462
"1743",551,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"65 to 69 Years",15.934065934
"1744",552,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"More Than 70 Years",10.43956044
"1745",553,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"2 to 11 Years",0
"1746",554,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"12 to 17 Years",0
"1747",555,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"Less Than 2 Years",0
"1748",556,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"18 to 34 Years",6.6974595843
"1749",557,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"35 to 49 Years",25.635103926
"1750",558,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"50 to 64 Years",46.189376443
"1751",559,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"65 to 69 Years",15.704387991
"1752",560,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"More Than 70 Years",5.7736720554
"1753",561,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"2 to 11 Years",0
"1754",562,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"12 to 17 Years",0.0868055556
"1755",563,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"Less Than 2 Years",0
"1756",564,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"18 to 34 Years",11.197916667
"1757",565,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"35 to 49 Years",30.034722222
"1758",566,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"50 to 64 Years",46.440972222
"1759",567,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"65 to 69 Years",10.677083333
"1760",568,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"More Than 70 Years",1.5625
"1761",569,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"2 to 11 Years",0
"1762",570,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"12 to 17 Years",0
"1763",571,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"Less Than 2 Years",0
"1764",572,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"18 to 34 Years",9.5238095238
"1765",573,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"35 to 49 Years",28.011204482
"1766",574,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"50 to 64 Years",46.848739496
"1767",575,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"65 to 69 Years",12.675070028
"1768",576,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"More Than 70 Years",2.9411764706
"1769",577,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"2 to 11 Years",0.1347708895
"1770",578,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"12 to 17 Years",0.6738544474
"1771",579,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"Less Than 2 Years",0
"1772",580,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"18 to 34 Years",13.611859838
"1773",581,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"35 to 49 Years",27.897574124
"1774",582,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"50 to 64 Years",41.778975741
"1775",583,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"65 to 69 Years",12.803234501
"1776",584,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"More Than 70 Years",3.0997304582
"1777",585,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"2 to 11 Years",0.234741784
"1778",586,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"12 to 17 Years",0
"1779",587,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"Less Than 2 Years",0
"1780",588,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"18 to 34 Years",7.2769953052
"1781",589,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"35 to 49 Years",31.690140845
"1782",590,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"50 to 64 Years",42.488262911
"1783",591,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"65 to 69 Years",13.145539906
"1784",592,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"More Than 70 Years",5.1643192488
"1785",593,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"2 to 11 Years",0
"1786",594,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"12 to 17 Years",0
"1787",595,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"Less Than 2 Years",0
"1788",596,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"18 to 34 Years",10.358565737
"1789",597,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"35 to 49 Years",30.278884462
"1790",598,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"50 to 64 Years",43.027888446
"1791",599,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"65 to 69 Years",10.358565737
"1792",600,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"More Than 70 Years",5.9760956175
"1793",601,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"2 to 11 Years",0
"1794",602,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"12 to 17 Years",0.3861003861
"1795",603,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"Less Than 2 Years",0
"1796",604,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"18 to 34 Years",13.127413127
"1797",605,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"35 to 49 Years",24.71042471
"1798",606,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"50 to 64 Years",41.312741313
"1799",607,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"65 to 69 Years",14.671814672
"1800",608,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"More Than 70 Years",5.7915057915
"1801",609,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"2 to 11 Years",0
"1802",610,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"12 to 17 Years",0
"1803",611,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"Less Than 2 Years",0
"1804",612,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"18 to 34 Years",12.765957447
"1805",613,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"35 to 49 Years",19.14893617
"1806",614,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"50 to 64 Years",34.75177305
"1807",615,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"65 to 69 Years",16.312056738
"1808",616,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"More Than 70 Years",17.021276596
"1809",617,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"2 to 11 Years",0.7346189164
"1810",618,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"12 to 17 Years",1.1019283747
"1811",619,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"Less Than 2 Years",0
"1812",620,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"18 to 34 Years",12.764003673
"1813",621,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"35 to 49 Years",25.80348944
"1814",622,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"50 to 64 Years",43.158861341
"1815",623,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"65 to 69 Years",9.0909090909
"1816",624,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"More Than 70 Years",7.3461891644
"1817",625,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"2 to 11 Years",0
"1818",626,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"12 to 17 Years",0
"1819",627,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"Less Than 2 Years",0
"1820",628,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"18 to 34 Years",2.5641025641
"1821",629,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"35 to 49 Years",19.658119658
"1822",630,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"50 to 64 Years",41.025641026
"1823",631,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"65 to 69 Years",16.239316239
"1824",632,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"More Than 70 Years",20.512820513
"1825",633,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"2 to 11 Years",0
"1826",634,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"12 to 17 Years",0
"1827",635,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"Less Than 2 Years",0
"1828",636,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"18 to 34 Years",9.7122302158
"1829",637,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"35 to 49 Years",24.100719424
"1830",638,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"50 to 64 Years",41.007194245
"1831",639,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"65 to 69 Years",15.107913669
"1832",640,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"More Than 70 Years",10.071942446
"1833",641,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"2 to 11 Years",0.5003573981
"1834",642,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"12 to 17 Years",0.929235168
"1835",643,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"Less Than 2 Years",0
"1836",644,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"18 to 34 Years",9.2923516798
"1837",645,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"35 to 49 Years",22.659042173
"1838",646,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"50 to 64 Years",40.814867763
"1839",647,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"65 to 69 Years",14.438884918
"1840",648,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"More Than 70 Years",11.365260901
"1841",649,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"2 to 11 Years",0
"1842",650,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"12 to 17 Years",0
"1843",651,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"Less Than 2 Years",0
"1844",652,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"18 to 34 Years",13.923076923
"1845",653,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"35 to 49 Years",30.538461538
"1846",654,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"50 to 64 Years",41.076923077
"1847",655,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"65 to 69 Years",8.7692307692
"1848",656,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"More Than 70 Years",5.6923076923
"1849",657,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"2 to 11 Years",0
"1850",658,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"12 to 17 Years",0
"1851",659,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"Less Than 2 Years",0
"1852",660,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"18 to 34 Years",4.7872340426
"1853",661,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"35 to 49 Years",21.808510638
"1854",662,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"50 to 64 Years",52.127659574
"1855",663,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"65 to 69 Years",13.829787234
"1856",664,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"More Than 70 Years",7.4468085106
"1857",665,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"2 to 11 Years",0
"1858",666,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"12 to 17 Years",0
"1859",667,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"Less Than 2 Years",0
"1860",668,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"18 to 34 Years",11.320754717
"1861",669,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"35 to 49 Years",24.528301887
"1862",670,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"50 to 64 Years",45.283018868
"1863",671,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"65 to 69 Years",11.320754717
"1864",672,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"More Than 70 Years",7.5471698113
"1865",673,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"2 to 11 Years",0
"1866",674,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"12 to 17 Years",0
"1867",675,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"Less Than 2 Years",0
"1868",676,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"18 to 34 Years",11.822660099
"1869",677,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"35 to 49 Years",24.137931034
"1870",678,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"50 to 64 Years",47.290640394
"1871",679,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"65 to 69 Years",15.270935961
"1872",680,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"More Than 70 Years",1.4778325123
"1873",681,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"2 to 11 Years",50
"1874",682,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"12 to 17 Years",50
"1875",683,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"Less Than 2 Years",0
"1876",684,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"18 to 34 Years",0
"1877",685,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"35 to 49 Years",0
"1878",686,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"50 to 64 Years",0
"1879",687,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"65 to 69 Years",0
"1880",688,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"More Than 70 Years",0
"1881",689,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"2 to 11 Years",0
"1882",690,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"12 to 17 Years",0
"1883",691,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"Less Than 2 Years",0
"1884",692,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"18 to 34 Years",13.454545455
"1885",693,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"35 to 49 Years",20
"1886",694,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"50 to 64 Years",41.454545455
"1887",695,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"65 to 69 Years",14.909090909
"1888",696,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"More Than 70 Years",10.181818182
"1889",697,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"2 to 11 Years",0
"1890",698,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"12 to 17 Years",0
"1891",699,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"Less Than 2 Years",0
"1892",700,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"18 to 34 Years",7.4324324324
"1893",701,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"35 to 49 Years",25.337837838
"1894",702,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"50 to 64 Years",41.891891892
"1895",703,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"65 to 69 Years",12.837837838
"1896",704,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"More Than 70 Years",12.5
"1897",705,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"2 to 11 Years",0.9651076466
"1898",706,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"12 to 17 Years",1.1135857461
"1899",707,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"Less Than 2 Years",0.0742390497
"1900",708,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"18 to 34 Years",14.699331849
"1901",709,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"35 to 49 Years",30.734966592
"1902",710,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"50 to 64 Years",40.608760208
"1903",711,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"65 to 69 Years",9.8737936154
"1904",712,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"More Than 70 Years",1.9302152932
"1905",713,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"2 to 11 Years",31.25
"1906",714,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"12 to 17 Years",68.75
"1907",715,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"Less Than 2 Years",0
"1908",716,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"18 to 34 Years",0
"1909",717,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"35 to 49 Years",0
"1910",718,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"50 to 64 Years",0
"1911",719,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"65 to 69 Years",0
"1912",720,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"More Than 70 Years",0
"1913",721,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"2 to 11 Years",0
"1914",722,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"12 to 17 Years",0
"1915",723,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"Less Than 2 Years",0
"1916",724,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"18 to 34 Years",11.692307692
"1917",725,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"35 to 49 Years",28.923076923
"1918",726,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"50 to 64 Years",44
"1919",727,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"65 to 69 Years",14.461538462
"1920",728,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"More Than 70 Years",0.9230769231
"1921",729,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"2 to 11 Years",47.154471545
"1922",730,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"12 to 17 Years",43.902439024
"1923",731,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"Less Than 2 Years",8.9430894309
"1924",732,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"18 to 34 Years",0
"1925",733,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"35 to 49 Years",0
"1926",734,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"50 to 64 Years",0
"1927",735,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"65 to 69 Years",0
"1928",736,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"More Than 70 Years",0
"1929",737,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"2 to 11 Years",0
"1930",738,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"12 to 17 Years",0
"1931",739,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"Less Than 2 Years",0
"1932",740,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"18 to 34 Years",15.151515152
"1933",741,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"35 to 49 Years",22.727272727
"1934",742,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"50 to 64 Years",43.939393939
"1935",743,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"65 to 69 Years",10.606060606
"1936",744,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"More Than 70 Years",7.5757575758
"1937",745,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"2 to 11 Years",0
"1938",746,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"12 to 17 Years",0.8
"1939",747,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"Less Than 2 Years",0
"1940",748,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"18 to 34 Years",9.6
"1941",749,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"35 to 49 Years",22.4
"1942",750,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"50 to 64 Years",43.2
"1943",751,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"65 to 69 Years",16.8
"1944",752,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"More Than 70 Years",7.2
"1945",753,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"2 to 11 Years",0
"1946",754,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"12 to 17 Years",4.9382716049
"1947",755,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"Less Than 2 Years",0
"1948",756,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"18 to 34 Years",16.049382716
"1949",757,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"35 to 49 Years",18.518518519
"1950",758,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"50 to 64 Years",41.975308642
"1951",759,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"65 to 69 Years",12.345679012
"1952",760,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"More Than 70 Years",6.1728395062
"1953",761,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Kidney",2114,"2 to 11 Years",0.1808318264
"1954",762,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Kidney",2114,"12 to 17 Years",0.3616636528
