"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"273",253,"University of Utah Medical Center (UTMC)","UTMC","TX1","Heart",84132,"Female",10.256410256
"274",254,"University of Utah Medical Center (UTMC)","UTMC","TX1","Heart",84132,"Male",89.743589744
"275",255,"University of Virginia Health Sciences Center (VAUV)","VAUV","TX1","Heart",22908,"Female",34.090909091
"276",256,"University of Virginia Health Sciences Center (VAUV)","VAUV","TX1","Heart",22908,"Male",65.909090909
"277",257,"University of Washington Medical Center (WAUW)","WAUW","TX1","Heart",98195,"Female",37.5
"278",258,"University of Washington Medical Center (WAUW)","WAUW","TX1","Heart",98195,"Male",62.5
"279",259,"University of Wisconsin Hospital and Clinics (WIUW)","WIUW","TX1","Heart",53792,"Female",16.666666667
"280",260,"University of Wisconsin Hospital and Clinics (WIUW)","WIUW","TX1","Heart",53792,"Male",83.333333333
"281",261,"UPMC Children's Hospital of Pittsburgh (PACH)","PACH","TX1","Heart",15224,"Female",28.571428571
"282",262,"UPMC Children's Hospital of Pittsburgh (PACH)","PACH","TX1","Heart",15224,"Male",71.428571429
"283",263,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart",75390,"Female",33.333333333
"284",264,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart",75390,"Male",66.666666667
"285",265,"Vanderbilt University Medical Center (TNVU)","TNVU","TX1","Heart",37232,"Female",32.394366197
"286",266,"Vanderbilt University Medical Center (TNVU)","TNVU","TX1","Heart",37232,"Male",67.605633803
"287",267,"Wake Forest Baptist Medical Center (NCBG)","NCBG","TX1","Heart",27157,"Female",15.384615385
"288",268,"Wake Forest Baptist Medical Center (NCBG)","NCBG","TX1","Heart",27157,"Male",84.615384615
"289",269,"Washington Hospital Center (DCWH)","DCWH","TX1","Heart",NA,"Female",23.076923077
"290",270,"Washington Hospital Center (DCWH)","DCWH","TX1","Heart",NA,"Male",76.923076923
"291",271,"Westchester Medical Center (NYWC)","NYWC","TX1","Heart",10595,"Female",15.789473684
"292",272,"Westchester Medical Center (NYWC)","NYWC","TX1","Heart",10595,"Male",84.210526316
"293",273,"Yale New Haven Hospital (CTYN)","CTYN","TX1","Heart",6510,"Female",28.571428571
"294",274,"Yale New Haven Hospital (CTYN)","CTYN","TX1","Heart",6510,"Male",71.428571429
"295",1,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Intestine",60611,"Female",60
"296",2,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Intestine",60611,"Male",40
"297",3,"Boston Children's Hospital (MACH)","MACH","TX1","Intestine",2115,"Female",100
"298",4,"Boston Children's Hospital (MACH)","MACH","TX1","Intestine",2115,"Male",0
"299",5,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Intestine",45229,"Female",62.5
"300",6,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Intestine",45229,"Male",37.5
"301",7,"Duke University Hospital (NCDU)","NCDU","TX1","Intestine",27710,"Female",60
"302",8,"Duke University Hospital (NCDU)","NCDU","TX1","Intestine",27710,"Male",40
"303",9,"Georgetown University Medical Center (DCGU)","DCGU","TX1","Intestine",20007,"Female",33.333333333
"304",10,"Georgetown University Medical Center (DCGU)","DCGU","TX1","Intestine",20007,"Male",66.666666667
"305",11,"Henry Ford Hospital (MIHF)","MIHF","TX1","Intestine",48202,"Female",100
"306",12,"Henry Ford Hospital (MIHF)","MIHF","TX1","Intestine",48202,"Male",0
"307",13,"Indiana University Health (INIM)","INIM","TX1","Intestine",46202,"Female",55.555555556
"308",14,"Indiana University Health (INIM)","INIM","TX1","Intestine",46202,"Male",44.444444444
"309",15,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Intestine",33136,"Female",75
"310",16,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Intestine",33136,"Male",25
"311",17,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Intestine",94304,"Female",33.333333333
"312",18,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Intestine",94304,"Male",66.666666667
"313",19,"Mount Sinai Medical Center (NYMS)","NYMS","TX1","Intestine",10029,"Female",50
"314",20,"Mount Sinai Medical Center (NYMS)","NYMS","TX1","Intestine",10029,"Male",50
"315",21,"Seattle Children's Hospital (WACH)","WACH","TX1","Intestine",98105,"Female",40
"316",22,"Seattle Children's Hospital (WACH)","WACH","TX1","Intestine",98105,"Male",60
"317",23,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Intestine",44195,"Female",53.333333333
"318",24,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Intestine",44195,"Male",46.666666667
"319",25,"The Nebraska Medical Center (NEUN)","NEUN","TX1","Intestine",68198,"Female",33.333333333
"320",26,"The Nebraska Medical Center (NEUN)","NEUN","TX1","Intestine",68198,"Male",66.666666667
"321",27,"University of California at Los Angeles Medical Center (CAUC)","CAUC","TX1","Intestine",90095,"Female",44.444444444
"322",28,"University of California at Los Angeles Medical Center (CAUC)","CAUC","TX1","Intestine",90095,"Male",55.555555556
"323",29,"University of Pittsburgh Medical Center (PAPT)","PAPT","TX1","Intestine",15213,"Female",50
"324",30,"University of Pittsburgh Medical Center (PAPT)","PAPT","TX1","Intestine",15213,"Male",50
"325",31,"University of Washington Medical Center (WAUW)","WAUW","TX1","Intestine",98195,"Female",66.666666667
"326",32,"University of Washington Medical Center (WAUW)","WAUW","TX1","Intestine",98195,"Male",33.333333333
"327",33,"UPMC Children's Hospital of Pittsburgh (PACH)","PACH","TX1","Intestine",15224,"Female",42.222222222
"328",34,"UPMC Children's Hospital of Pittsburgh (PACH)","PACH","TX1","Intestine",15224,"Male",57.777777778
"329",1,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Kidney",55407,"Female",42.682926829
"330",2,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Kidney",55407,"Male",57.317073171
"331",3,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Kidney",60453,"Female",30.084745763
"332",4,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Kidney",60453,"Male",69.915254237
"333",5,"Albany Medical Center Hospital (NYAM)","NYAM","TX1","Kidney",12208,"Female",34.895833333
"334",6,"Albany Medical Center Hospital (NYAM)","NYAM","TX1","Kidney",12208,"Male",65.104166667
"335",7,"Albert Einstein Medical Center (PAAE)","PAAE","TX1","Kidney",19141,"Female",39.626168224
"336",8,"Albert Einstein Medical Center (PAAE)","PAAE","TX1","Kidney",19141,"Male",60.373831776
"337",9,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Kidney",19803,"Female",16.666666667
"338",10,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Kidney",19803,"Male",83.333333333
"339",11,"Allegheny General Hospital (PAAG)","PAAG","TX1","Kidney",15212,"Female",33.554817276
"340",12,"Allegheny General Hospital (PAAG)","PAAG","TX1","Kidney",15212,"Male",66.445182724
"341",13,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Kidney",60611,"Female",30.952380952
"342",14,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Kidney",60611,"Male",69.047619048
"343",15,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Kidney",72202,"Female",0
"344",16,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Kidney",72202,"Male",100
"345",17,"AU Medical Center, Inc. (GAMC)","GAMC","TX1","Kidney",30912,"Female",45.838359469
"346",18,"AU Medical Center, Inc. (GAMC)","GAMC","TX1","Kidney",30912,"Male",54.161640531
"347",19,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Kidney",53215,"Female",38.043478261
"348",20,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Kidney",53215,"Male",61.956521739
"349",21,"Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","Kidney",919,"Female",40.498442368
"350",22,"Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","Kidney",919,"Male",59.501557632
"351",23,"Avera McKennan Hospital (SDMK)","SDMK","TX1","Kidney",57105,"Female",41.92139738
"352",24,"Avera McKennan Hospital (SDMK)","SDMK","TX1","Kidney",57105,"Male",58.07860262
"353",25,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Kidney",85719,"Female",43.089430894
"354",26,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Kidney",85719,"Male",56.910569106
"355",27,"Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","Kidney",85006,"Female",38.8
"356",28,"Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","Kidney",85006,"Male",61.2
"357",29,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Kidney",63110,"Female",38.821954485
"358",30,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Kidney",63110,"Male",61.178045515
"359",31,"Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","Kidney",76104,"Female",38.487208009
"360",32,"Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","Kidney",76104,"Male",61.512791991
"361",33,"Baylor University Medical Center (TXTX)","TXTX","TX1","Kidney",75246,"Female",38.453914767
"362",34,"Baylor University Medical Center (TXTX)","TXTX","TX1","Kidney",75246,"Male",61.546085233
"363",35,"Baystate Medical Center (MABS)","MABS","TX1","Kidney",1199,"Female",38.150289017
"364",36,"Baystate Medical Center (MABS)","MABS","TX1","Kidney",1199,"Male",61.849710983
"365",37,"Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","Kidney",2215,"Female",37.5
"366",38,"Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","Kidney",2215,"Male",62.5
"367",39,"Birmingham VA Medical Center (ALVA)","ALVA","TX1","Kidney",35233,"Female",7.4074074074
"368",40,"Birmingham VA Medical Center (ALVA)","ALVA","TX1","Kidney",35233,"Male",92.592592593
"369",41,"Boston Children's Hospital (MACH)","MACH","TX1","Kidney",2115,"Female",23.80952381
"370",42,"Boston Children's Hospital (MACH)","MACH","TX1","Kidney",2115,"Male",76.19047619
"371",43,"Boston Medical Center (MABU)","MABU","TX1","Kidney",2118,"Female",39.285714286
"372",44,"Boston Medical Center (MABU)","MABU","TX1","Kidney",2118,"Male",60.714285714
"373",45,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Kidney",2115,"Female",45.317220544
"374",46,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Kidney",2115,"Male",54.682779456
"375",47,"California Pacific Medical Center (CAPM)","CAPM","TX1","Kidney",94114,"Female",37.355371901
"376",48,"California Pacific Medical Center (CAPM)","CAPM","TX1","Kidney",94114,"Male",62.644628099
"377",49,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Kidney",63104,"Female",25
"378",50,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Kidney",63104,"Male",75
"379",51,"Carolinas Medical Center (NCCM)","NCCM","TX1","Kidney",28203,"Female",35.483870968
"380",52,"Carolinas Medical Center (NCCM)","NCCM","TX1","Kidney",28203,"Male",64.516129032
"381",53,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Kidney",90211,"Female",39.386401327
"382",54,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Kidney",90211,"Male",60.613598673
"383",55,"Centennial Medical Center (TNPV)","TNPV","TX1","Kidney",37203,"Female",30.769230769
"384",56,"Centennial Medical Center (TNPV)","TNPV","TX1","Kidney",37203,"Male",69.230769231
"385",57,"Centura Porter Adventist Hospital (COPM)","COPM","TX1","Kidney",80210,"Female",37.313432836
"386",58,"Centura Porter Adventist Hospital (COPM)","COPM","TX1","Kidney",80210,"Male",62.686567164
"387",59,"Charleston Area Medical Center (WVCA)","WVCA","TX1","Kidney",25325,"Female",35.869565217
"388",60,"Charleston Area Medical Center (WVCA)","WVCA","TX1","Kidney",25325,"Male",64.130434783
"389",61,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Kidney",77030,"Female",37.175141243
"390",62,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Kidney",77030,"Male",62.824858757
"391",63,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Kidney",30322,"Female",54.285714286
"392",64,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Kidney",30322,"Male",45.714285714
"393",65,"Children's Hospital (LACH)","LACH","TX1","Kidney",70118,"Female",36.363636364
"394",66,"Children's Hospital (LACH)","LACH","TX1","Kidney",70118,"Male",63.636363636
"395",67,"Children's Hospital Colorado (COCH)","COCH","TX1","Kidney",80045,"Female",47.368421053
"396",68,"Children's Hospital Colorado (COCH)","COCH","TX1","Kidney",80045,"Male",52.631578947
"397",69,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Kidney",45229,"Female",50
"398",70,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Kidney",45229,"Male",50
"399",71,"Children's Hospital of Michigan (MICH)","MICH","TX1","Kidney",48201,"Female",33.333333333
"400",72,"Children's Hospital of Michigan (MICH)","MICH","TX1","Kidney",48201,"Male",66.666666667
"401",73,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Kidney",19104,"Female",28.260869565
"402",74,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Kidney",19104,"Male",71.739130435
"403",75,"Children's Hospital of the King's Daughters (VACH)","VACH","TX1","Kidney",23507,"Female",77.777777778
"404",76,"Children's Hospital of the King's Daughters (VACH)","VACH","TX1","Kidney",23507,"Male",22.222222222
"405",77,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Kidney",53226,"Female",27.272727273
"406",78,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Kidney",53226,"Male",72.727272727
"407",79,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Kidney",75235,"Female",28.571428571
"408",80,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Kidney",75235,"Male",71.428571429
"409",81,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Kidney",64108,"Female",27.5
"410",82,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Kidney",64108,"Male",72.5
"411",83,"Children's National Medical Center (DCCH)","DCCH","TX1","Kidney",20010,"Female",22.727272727
"412",84,"Children's National Medical Center (DCCH)","DCCH","TX1","Kidney",20010,"Male",77.272727273
"413",85,"Children's of Alabama (ALCH)","ALCH","TX1","Kidney",35233,"Female",41.666666667
"414",86,"Children's of Alabama (ALCH)","ALCH","TX1","Kidney",35233,"Male",58.333333333
"415",87,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Kidney",90027,"Female",41.176470588
"416",88,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Kidney",90027,"Male",58.823529412
"417",89,"Christiana Care Health Services (DECC)","DECC","TX1","Kidney",19713,"Female",33.55704698
"418",90,"Christiana Care Health Services (DECC)","DECC","TX1","Kidney",19713,"Male",66.44295302
"419",91,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Kidney",33331,"Female",37.060301508
"420",92,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Kidney",33331,"Male",62.939698492
"421",93,"Cook Children's Medical Center (TXCF)","TXCF","TX1","Kidney",76104,"Female",40
"422",94,"Cook Children's Medical Center (TXCF)","TXCF","TX1","Kidney",76104,"Male",60
"423",95,"Crozer-Chester Medical Center (PACC)","PACC","TX1","Kidney",19013,"Female",36.966824645
"424",96,"Crozer-Chester Medical Center (PACC)","PACC","TX1","Kidney",19013,"Male",63.033175355
"425",97,"Doctor's Hospital at Renaissance (TXDR)","TXDR","TX1","Kidney",78539,"Female",35.204081633
"426",98,"Doctor's Hospital at Renaissance (TXDR)","TXDR","TX1","Kidney",78539,"Male",64.795918367
"427",99,"Driscoll Children's Hospital (TXDC)","TXDC","TX1","Kidney",78411,"Female",83.333333333
"428",100,"Driscoll Children's Hospital (TXDC)","TXDC","TX1","Kidney",78411,"Male",16.666666667
"429",101,"Duke University Hospital (NCDU)","NCDU","TX1","Kidney",27710,"Female",37.254901961
"430",102,"Duke University Hospital (NCDU)","NCDU","TX1","Kidney",27710,"Male",62.745098039
"431",103,"East Texas Medical Center (TXTY)","TXTY","TX1","Kidney",75701,"Female",41.228070175
"432",104,"East Texas Medical Center (TXTY)","TXTY","TX1","Kidney",75701,"Male",58.771929825
"433",105,"Emory University Hospital (GAEM)","GAEM","TX1","Kidney",30322,"Female",38.784833257
"434",106,"Emory University Hospital (GAEM)","GAEM","TX1","Kidney",30322,"Male",61.215166743
"435",107,"Erie County Medical Center (NYEC)","NYEC","TX1","Kidney",14215,"Female",46.153846154
"436",108,"Erie County Medical Center (NYEC)","NYEC","TX1","Kidney",14215,"Male",53.846153846
"437",109,"Erlanger Medical Center (TNEM)","TNEM","TX1","Kidney",37403,"Female",30.769230769
"438",110,"Erlanger Medical Center (TNEM)","TNEM","TX1","Kidney",37403,"Male",69.230769231
"439",111,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Kidney",32803,"Female",40.798226164
"440",112,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Kidney",32803,"Male",59.201773836
"441",113,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Kidney",53226,"Female",42.398286938
"442",114,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Kidney",53226,"Male",57.601713062
"443",115,"Geisinger Medical Center (PAGM)","PAGM","TX1","Kidney",17822,"Female",38.839285714
"444",116,"Geisinger Medical Center (PAGM)","PAGM","TX1","Kidney",17822,"Male",61.160714286
"445",117,"George Washington University Hospital (DCGW)","DCGW","TX1","Kidney",20037,"Female",35.636363636
"446",118,"George Washington University Hospital (DCGW)","DCGW","TX1","Kidney",20037,"Male",64.363636364
"447",119,"Georgetown University Medical Center (DCGU)","DCGU","TX1","Kidney",20007,"Female",38.347457627
"448",120,"Georgetown University Medical Center (DCGU)","DCGU","TX1","Kidney",20007,"Male",61.652542373
"449",121,"Hackensack University Medical Center (NJHK)","NJHK","TX1","Kidney",7601,"Female",32.142857143
"450",122,"Hackensack University Medical Center (NJHK)","NJHK","TX1","Kidney",7601,"Male",67.857142857
"451",123,"Hahnemann University Hospital (PAHM)","PAHM","TX1","Kidney",19102,"Female",40.594059406
"452",124,"Hahnemann University Hospital (PAHM)","PAHM","TX1","Kidney",19102,"Male",59.405940594
"453",125,"Halifax Medical Center (FLHM)","FLHM","TX1","Kidney",32114,"Female",39.473684211
"454",126,"Halifax Medical Center (FLHM)","FLHM","TX1","Kidney",32114,"Male",60.526315789
"455",127,"Harbor UCLA Medical Center (CALA)","CALA","TX1","Kidney",90509,"Female",35.807860262
"456",128,"Harbor UCLA Medical Center (CALA)","CALA","TX1","Kidney",90509,"Male",64.192139738
"457",129,"Harper University Hospital Detroit Medical Center (MIHH)","MIHH","TX1","Kidney",48201,"Female",39.408866995
"458",130,"Harper University Hospital Detroit Medical Center (MIHH)","MIHH","TX1","Kidney",48201,"Male",60.591133005
"459",131,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"Female",41.428571429
"460",132,"Hartford Hospital (CTHH)","CTHH","TX1","Kidney",6102,"Male",58.571428571
"461",133,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"Female",57.142857143
"462",134,"Helen DeVos Children's Hospital (MIDV)","MIDV","TX1","Kidney",49503,"Male",42.857142857
"463",135,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"Female",41.5625
"464",136,"Hennepin County Medical Center (MNHC)","MNHC","TX1","Kidney",55415,"Male",58.4375
"465",137,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"Female",40.659340659
"466",138,"Henrico Doctors' Hospital (VAHD)","VAHD","TX1","Kidney",23229,"Male",59.340659341
"467",139,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"Female",44.341801386
"468",140,"Henry Ford Hospital (MIHF)","MIHF","TX1","Kidney",48202,"Male",55.658198614
"469",141,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"Female",38.715277778
"470",142,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Kidney",19104,"Male",61.284722222
"471",143,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"Female",40.546218487
"472",144,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Kidney",77030,"Male",59.453781513
"473",145,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"Female",38.005390836
"474",146,"Indiana University Health (INIM)","INIM","TX1","Kidney",46202,"Male",61.994609164
"475",147,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"Female",35.44600939
"476",148,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Kidney",22042,"Male",64.55399061
"477",149,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"Female",43.824701195
"478",150,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Kidney",73112,"Male",56.175298805
"479",151,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"Female",42.471042471
"480",152,"Intermountain Medical Center (UTLD)","UTLD","TX1","Kidney",84107,"Male",57.528957529
"481",153,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"Female",34.042553191
"482",154,"Iowa Methodist Medical Center (IAIM)","IAIM","TX1","Kidney",50309,"Male",65.957446809
"483",155,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"Female",36.363636364
"484",156,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Kidney",33136,"Male",63.636363636
"485",157,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"Female",8.547008547
"486",158,"James J. Peters VA Medical Center (NYVA)","NYVA","TX1","Kidney",10468,"Male",91.452991453
"487",159,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"Female",34.532374101
"488",160,"Jewish Hospital (KYJH)","KYJH","TX1","Kidney",40202,"Male",65.467625899
"489",161,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"Female",38.527519657
"490",162,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Kidney",21287,"Male",61.472480343
"491",163,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"Female",35.307692308
"492",164,"Keck Hospital of USC (CAUH)","CAUH","TX1","Kidney",90033,"Male",64.692307692
"493",165,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"Female",33.510638298
"494",166,"Lahey Clinic Medical Center (MALC)","MALC","TX1","Kidney",1805,"Male",66.489361702
"495",167,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"Female",32.075471698
"496",168,"Largo Medical Center (FLLM)","FLLM","TX1","Kidney",33770,"Male",67.924528302
"497",169,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"Female",38.42364532
"498",170,"Las Palmas Medical Center (TXLP)","TXLP","TX1","Kidney",79902,"Male",61.57635468
"499",171,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"Female",100
"500",172,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Kidney",38103,"Male",0
"501",173,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"Female",41.818181818
"502",174,"Legacy Good Samaritan Hospital and Medical Center (ORGS)","ORGS","TX1","Kidney",97210,"Male",58.181818182
"503",175,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"Female",30.067567568
"504",176,"Lehigh Valley Hospital (PALV)","PALV","TX1","Kidney",18105,"Male",69.932432432
"505",177,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"Female",35.931700074
"506",178,"Loma Linda University Medical Center (CALL)","CALL","TX1","Kidney",92354,"Male",64.068299926
"507",179,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"Female",37.5
"508",180,"Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC)","NYCC","TX1","Kidney",11040,"Male",62.5
"509",181,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"Female",38.153846154
"510",182,"Loyola University Medical Center (ILLU)","ILLU","TX1","Kidney",60153,"Male",61.846153846
"511",183,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"Female",39.024390244
"512",184,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Kidney",94304,"Male",60.975609756
"513",185,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"Female",25.757575758
"514",186,"Lutheran Hospital of Fort Wayne (INLH)","INLH","TX1","Kidney",46804,"Male",74.242424242
"515",187,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"Female",41.6
"516",188,"Maine Medical Center (MEMC)","MEMC","TX1","Kidney",4102,"Male",58.4
"517",189,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"Female",32.098765432
"518",190,"Mary Hitchcock Memorial Hospital (NHDH)","NHDH","TX1","Kidney",3756,"Male",67.901234568
"519",191,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Kidney",2114,"Female",38.788426763
"520",192,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Kidney",2114,"Male",61.211573237
"521",193,"Mayo Clinic Florida (FLSL)","FLSL","TX1","Kidney",32224,"Female",37.439613527
"522",194,"Mayo Clinic Florida (FLSL)","FLSL","TX1","Kidney",32224,"Male",62.560386473
"523",195,"Mayo Clinic Hospital (AZMC)","AZMC","TX1","Kidney",85054,"Female",35.56638246
"524",196,"Mayo Clinic Hospital (AZMC)","AZMC","TX1","Kidney",85054,"Male",64.43361754
"525",197,"Medical City Dallas Hospital (TXHD)","TXHD","TX1","Kidney",75230,"Female",37.090909091
"526",198,"Medical City Dallas Hospital (TXHD)","TXHD","TX1","Kidney",75230,"Male",62.909090909
"527",199,"Medical City Fort Worth (TXPL)","TXPL","TX1","Kidney",76104,"Female",34.254143646
"528",200,"Medical City Fort Worth (TXPL)","TXPL","TX1","Kidney",76104,"Male",65.745856354
"529",201,"Medical College of Virginia Hospitals (VAMC)","VAMC","TX1","Kidney",23219,"Female",41.855670103
"530",202,"Medical College of Virginia Hospitals (VAMC)","VAMC","TX1","Kidney",23219,"Male",58.144329897
"531",203,"Medical University of South Carolina (SCMU)","SCMU","TX1","Kidney",29425,"Female",42.757242757
"532",204,"Medical University of South Carolina (SCMU)","SCMU","TX1","Kidney",29425,"Male",57.242757243
"533",205,"Memorial Hermann Hospital, University of Texas at Houston (TXHH)","TXHH","TX1","Kidney",77030,"Female",38.405797101
"534",206,"Memorial Hermann Hospital, University of Texas at Houston (TXHH)","TXHH","TX1","Kidney",77030,"Male",61.594202899
"535",207,"Memorial Medical Center (ILMM)","ILMM","TX1","Kidney",62781,"Female",37.254901961
"536",208,"Memorial Medical Center (ILMM)","ILMM","TX1","Kidney",62781,"Male",62.745098039
"537",209,"Memorial Regional Hospital (FLMR)","FLMR","TX1","Kidney",33021,"Female",29.126213592
"538",210,"Memorial Regional Hospital (FLMR)","FLMR","TX1","Kidney",33021,"Male",70.873786408
"539",211,"Mercy Health Saint Marys (MISM","MISM","TX1","Kidney",49503,"Female",42.394822006
"540",212,"Mercy Health Saint Marys (MISM","MISM","TX1","Kidney",49503,"Male",57.605177994
"541",213,"Mercy Medical Center-Des Moines (IAMH)","IAMH","TX1","Kidney",50314,"Female",41.379310345
